opp,N,RATE_DFW,mean_grade,sd_grade,med_grade,mad_grade,mn_ga,sd_ga,med_ga,mad_ga
FEM,10499,0.10020001904943328,2.929167539765692,1.1029935247285965,3,1.4826,-0.5000636928456803,0.983621671558799,-0.33320000000000016,0.7905223200000011
FG,1404,0.2101139601139601,2.489408831908832,1.2635843217146314,2.83,1.230558,-0.6773019184254951,1.1541434877550407,-0.492820512820513,0.9506317153846155
FG&FEM,1386,0.15728715728715728,2.642914862914863,1.1878321193034689,3,1.4826,-0.6718803730705375,1.0703177991665533,-0.4944999999999997,0.8493444749999997
FG&LI,1445,0.17993079584775087,2.5648442906574394,1.2398063275741638,3,1.4826,-0.6473455375461193,1.1473446880870497,-0.46709999999999985,0.8749963061538459
FG&LI&FEM,1595,0.16927899686520376,2.578175548589342,1.2220347284631006,3,1.4826,-0.6680274820191241,1.1008249638899317,-0.5330000000000004,0.8814056999999993
LI,2717,0.14206845785793154,2.72357011409643,1.1853319554391288,3,1.4826,-0.5703107652252498,1.0945241488343813,-0.36853846153846126,0.8620748769230769
LI&FEM,2401,0.11745106205747605,2.833244481466056,1.1331924714218857,3,1.4826,-0.533180017141073,1.0288350777117286,-0.3676153846153847,0.8552321076923075
NotQuad,12998,0.14517618095091553,2.708636713340514,1.1790160199500876,3,1.4826,-0.5649316232359729,1.0752296549028175,-0.37422222222222246,0.8328917333333326
Other,4,0,3.5825,0.5005580219448424,3.665,0.4966709999999999,-0.03467307692307686,0.5209685480761708,-0.22051282051282062,0.20606239230769172
Quad,3454,0.21482339316734222,2.415243196294152,1.2493054596044029,2.66,0.9785160000000002,-0.7776616152544469,1.1641025137334664,-0.5946785714285714,0.991154757692308
URM,6247,0.18648951496718424,2.560475428205539,1.2557263193759969,3,1.4826,-0.6023360165935094,1.1316237460144978,-0.38749999999999973,0.9031505000000002
URM&FEM,5489,0.14574603752960466,2.7597012206230644,1.2111312651099642,3,1.4826,-0.5557016415044751,1.0536013357492389,-0.35799999999999965,0.8377830461538464
URM&FG,1056,0.19791666666666666,2.4663352272727272,1.242662451767472,2.66,0.9785160000000002,-0.5995343705475159,1.1090669074998993,-0.4452666666666667,0.8543026315384616
URM&FG&FEM,967,0.2109617373319545,2.4245811789038263,1.2674548621204995,2.66,0.9933419999999998,-0.7425486974142934,1.1243523809174973,-0.6146923076923074,0.9419071846153849
URM&FG&LI,3070,0.19218241042345277,2.4836807817589577,1.2108342248603772,2.66,0.9785160000000002,-0.621571208953752,1.1372329719575094,-0.4414615384615379,0.9436178769230752
URM&LI,2339,0.17999144933732364,2.5344591705857202,1.2232260406285018,3,1.4826,-0.6137382752759994,1.1494299131294416,-0.45100000000000007,0.9206945999999993
URM&LI&FEM,2403,0.18435289221806075,2.5476487723678733,1.2377187550978677,3,1.4826,-0.6976079443761951,1.149195217973555,-0.5408461538461538,0.9690398013986015
0,3454,0.21482339316734222,2.415243196294152,1.2493054596044029,2.66,0.9785160000000002,-0.7776616152544469,1.1641025137334664,-0.5946785714285714,0.991154757692308
1,8035,0.18755444928438084,2.514456751711263,1.228821287048796,3,1.4826,-0.6680925856931101,1.132730600261192,-0.5016666666666669,0.9394742000000005
2,14116,0.15514310002833664,2.681528053272882,1.2093379428428415,3,1.4826,-0.5855549838036573,1.0823682383107966,-0.40516666666666645,0.8755459
3,20867,0.13887957061388795,2.7624330282263863,1.1856426077561473,3,1.4826,-0.5517529136642952,1.0577378670811692,-0.3670909090909089,0.8407689818181812
4,13002,0.14513151822796494,2.7089055529918475,1.1789587708011293,3,1.4826,-0.5647684918573195,1.0751335819222676,-0.3739611111111112,0.8324696751724132
