opp,N,RATE_DFW,mean_grade,sd_grade,med_grade,mad_grade,mn_ga,sd_ga,med_ga,mad_ga
FEM,2759,0.05545487495469373,3.160409568684306,0.9422043101137232,3.33,0.9933419999999998,-0.435122423962972,0.7922785859647368,-0.2939999999999996,0.617839854545453
FG,640,0.1796875,2.627046875,1.2104474260351943,3,1.4826,-0.7201437328001175,1.0863799458380523,-0.47489999999999943,0.780759969230769
FG&FEM,304,0.10197368421052631,2.7897039473684213,0.9915761919322232,3,0.9933419999999998,-0.6094908019348009,0.8096771336225926,-0.459846153846154,0.6089249999999998
FG&LI,642,0.14797507788161993,2.6577881619937695,1.1267153393092162,3,1.4826,-0.6969161410778093,0.9974052754964252,-0.47633333333333283,0.7194846000000006
FG&LI&FEM,347,0.11815561959654179,2.6688472622478385,1.0564650115050618,3,0.9933419999999998,-0.7049962964520834,0.8824948075267541,-0.5607500000000001,0.7538165653846147
LI,1173,0.10997442455242967,2.850690537084399,1.093982821408388,3,0.9933419999999998,-0.6116167355058709,1.0047800814589491,-0.40600000000000014,0.8065343999999993
LI&FEM,568,0.07042253521126761,3.0085211267605634,0.9788878598867435,3,0.9933419999999998,-0.5122584097252615,0.8523705772637065,-0.3673531468531468,0.6298893490909092
NotQuad,5821,0.10187253049304243,2.917467789039684,1.072845725660072,3,0.9933419999999998,-0.5451392168070199,0.935620253765176,-0.34199999999999986,0.7047291999999997
Other,1,0,4,NA,4,0,-0.11249999999999982,NA,-0.11249999999999982,0
Quad,978,0.1554192229038855,2.498762781186094,1.045443690837341,2.66,0.9785160000000002,-0.8400209637098169,0.9281578668019794,-0.6874725274725275,0.7399788419580421
URM,3260,0.12239263803680982,2.8325920245398772,1.1396493646089783,3,1.4826,-0.5738351781426693,0.9811917677408575,-0.3841285714285714,0.7733665199999995
URM&FEM,1944,0.08539094650205761,3.017227366255144,1.0492190943401696,3,1.4826,-0.5106795055106296,0.8637939422330012,-0.33222222222222264,0.6432671933333324
URM&FG,543,0.17311233885819521,2.555193370165746,1.1657186266048634,2.66,0.9785160000000002,-0.6946964048185357,0.9871098588994454,-0.5056666666666665,0.7328986000000002
URM&FG&FEM,319,0.16614420062695925,2.541912225705329,1.1330092029223178,2.66,0.9785160000000002,-0.766219257339848,0.9874890607974899,-0.6125454545454541,0.7315957090909095
URM&FG&LI,1538,0.1859557867360208,2.490149544863459,1.1436100272132403,2.66,0.9785160000000002,-0.8092888597844068,1.0565989920858831,-0.5898611111111112,0.8226239795454541
URM&LI,891,0.1728395061728395,2.635443322109989,1.1784600978060675,3,1.4826,-0.737408029829007,1.080893369907415,-0.5488888888888885,0.8351980000000008
URM&LI&FEM,561,0.10338680926916222,2.758270944741533,1.0205639397065156,3,0.9933419999999998,-0.6459836702191648,0.8918242504194891,-0.532,0.7057175999999993
0,978,0.1554192229038855,2.498762781186094,1.045443690837341,2.66,0.9785160000000002,-0.8400209637098169,0.9281578668019794,-0.6874725274725275,0.7399788419580421
1,2765,0.15840867992766727,2.5729475587703434,1.112540488116072,2.66,0.9785160000000002,-0.758097925244721,0.9979978662089349,-0.585,0.7772530499999998
2,4892,0.11856091578086672,2.8340862632869994,1.1026724859379184,3,0.9933419999999998,-0.6031643099327179,0.9391121667411354,-0.42433333333333323,0.7021061384615386
3,7832,0.10163432073544433,2.933987487231869,1.0876243484669148,3,1.4826,-0.5425847635596787,0.936427568950057,-0.3521428571428573,0.7134129999999996
4,5822,0.10185503263483339,2.9176537272414977,1.0728473811141053,3,0.9933419999999998,-0.5450649057082897,0.9355570667532697,-0.34185714285714275,0.7045173999999997
