ASU
Data Ran on:  2022-10-21
Overall Demographics
"","N_FEMALE","N_MALE","N_GEN_UNK","N_GEN_NA","N_ETH_0","N_ETH_1","N_ETH_2","N_ETH_NA","N_LI_0","N_LI_1","N_LI_NA","N_FG_0","N_FG_1","N_FG_NA","N_TR_0","N_TR_1","N_TR_NA","N_INT_0","N_INT_1","N_INT_NA"
"1",1039,667,0,0,912,530,256,0,1040,666,0,1241,465,0,1706,0,0,1706,0,0

____________________________

Grade Anomalies and SAI
"","opp","N","RATE_DFW","mean_grade","sd_grade","med_grade","mad_grade","mn_ga","sd_ga","med_ga","mad_ga"
"1","FEM",312,0.0673076923076923,2.99237179487179,1.02561571950189,3,1.4826,-0.400019645660242,0.825071829077016,-0.279351648351648,0.667197153846153
"2","FG",28,0.142857142857143,2.7375,1.34625853276294,3,1.4826,-0.199103831813459,1.10622915132625,-0.184471571906355,0.88820632173913
"3","FG&FEM",54,0.222222222222222,2.555,1.43028134189786,3,1.4826,-0.614722215644438,1.02272024312179,-0.197727272727273,0.475542839160839
"4","FG&LI",26,0.230769230769231,2.49923076923077,1.49681240795745,3,1.4826,-0.458211777937781,0.839764511390958,-0.321717171717172,0.821534118787878
"5","FG&LI&FEM",82,0.0853658536585366,2.64536585365854,0.997946280156849,3,1.4826,-0.325607813128812,0.959790767664355,-0.310708791208792,0.781583906951872
"6","LI",63,0.238095238095238,2.68698412698413,1.44490722430222,3,1.4826,-0.759727859512694,1.09559609169459,-0.489818181818182,0.937157236363638
"7","LI&FEM",119,0.0756302521008403,2.93747899159664,1.01657552304117,3,1.4826,-0.31026683741086,0.851554651753939,-0.255,0.570531436363637
"8","NotQuad",228,0.114035087719298,2.97706140350877,1.15645198536337,3,1.4826,-0.384702576249502,0.959749933086348,-0.160168831168831,0.71469406909091
"9","Quad",134,0.283582089552239,2.26537313432836,1.32203059621097,2.33,1.727229,-0.80958004962698,1.10918598764112,-0.685038461538461,1.01563802307692
"10","URM",150,0.113333333333333,2.9082,1.18922797696996,3,1.4826,-0.427569121786727,0.97545773827993,-0.294,0.809261020689655
"11","URM&FEM",208,0.149038461538462,2.87730769230769,1.27064115640347,3,1.4826,-0.44047525964422,0.975499308895986,-0.214615384615385,0.713063017094017
"12","URM&FG",28,0.107142857142857,2.535,1.06278634485715,3,0.733887,-0.547196397517826,0.646688339776751,-0.436214285714286,0.523040099999999
"13","URM&FG&FEM",32,0.28125,2.36375,1.46937061356215,2.83,1.734642,-0.687521529019424,1.04732306165075,-0.662087912087912,0.960855138461538
"14","URM&FG&LI",81,0.234567901234568,2.36123456790123,1.26032176716509,2.66,0.978516,-0.53084291426063,1.14792127175523,-0.294,0.946145899999999
"15","URM&LI",63,0.206349206349206,2.59190476190476,1.25888437187502,3,1.4826,-0.555150497085472,1.11683235925887,-0.313846153846154,0.860865987692308
"16","URM&LI&FEM",98,0.23469387755102,2.38020408163265,1.36176960340825,2.33,1.4826,-0.591218747324062,0.978798442887564,-0.41664935064935,0.985472815384616
"17","0",134,0.283582089552239,2.26537313432836,1.32203059621097,2.33,1.727229,-0.80958004962698,1.10918598764112,-0.685038461538461,1.01563802307692
"18","1",293,0.197952218430034,2.44737201365188,1.25380363274639,2.66,0.978516,-0.510710726614516,1.03276271464158,-0.333333333333333,0.933458593103448
"19","2",498,0.14859437751004,2.78164658634538,1.23899700608391,3,1.4826,-0.449688943726819,0.950494288029845,-0.272727272727273,0.702437909090909
"20","3",553,0.103074141048825,2.92184448462929,1.14385940802896,3,1.4826,-0.438298842954939,0.922282871585488,-0.313846153846154,0.733950358974359
"21","4",228,0.114035087719298,2.97706140350877,1.15645198536337,3,1.4826,-0.384702576249502,0.959749933086348,-0.160168831168831,0.71469406909091

____________________________

Regression, grade penalty ~ sai
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.644560152230217,0.0526736071342296,-12.2368713156034,4.61251022959384e-33
"sai",0.074471789803562,0.0208290852924128,3.57537495084766,0.000359478735302111

____________________________

