ASU
Data Ran on:  2022-10-21
Overall Demographics
"","N_FEMALE","N_MALE","N_GEN_UNK","N_GEN_NA","N_ETH_0","N_ETH_1","N_ETH_2","N_ETH_NA","N_LI_0","N_LI_1","N_LI_NA","N_FG_0","N_FG_1","N_FG_NA","N_TR_0","N_TR_1","N_TR_NA","N_INT_0","N_INT_1","N_INT_NA"
"1",4335,5755,0,0,6388,2598,1053,0,7289,2801,0,7948,2142,0,10090,0,0,10090,0,0

____________________________

Grade Anomalies and SAI
"","opp","N","RATE_DFW","mean_grade","sd_grade","med_grade","mad_grade","mn_ga","sd_ga","med_ga","mad_ga"
"1","FEM",1782,0.148709315375982,2.72826599326599,1.18799812789909,3,1.4826,-0.880008398022818,1.1424784865885,-0.700846153846154,1.02185353846154
"2","FG",284,0.28169014084507,2.20894366197183,1.29765061300128,2,1.4826,-1.08298392931058,1.28339085993612,-0.855922413793104,1.13053281447964
"3","FG&FEM",239,0.255230125523013,2.24292887029289,1.26962501873452,2,1.4826,-1.27401125545504,1.20308335832762,-1.15623076923077,1.11206404615385
"4","FG&LI",221,0.248868778280543,2.32610859728507,1.29882788662013,2.33,1.4826,-1.01340480993783,1.21493403983715,-0.8,1.04010092307692
"5","FG&LI&FEM",218,0.270642201834862,2.26481651376147,1.34952192023037,2.33,1.4826,-1.2384024480764,1.34534284121017,-1.00226923076923,1.21702279510489
"6","LI",504,0.206349206349206,2.44890873015873,1.25901086155209,2.66,0.978516,-0.987670437632138,1.21425719692834,-0.774230769230769,1.02356423076923
"7","LI&FEM",351,0.205128205128205,2.52373219373219,1.25825072544183,2.66,0.993342,-1.00318533684253,1.19686969505994,-0.728,1.07178501818182
"8","NotQuad",2789,0.196486195769093,2.45641089996414,1.23789985252199,2.66,0.978516,-0.933041648179347,1.18070983106473,-0.75625,1.04925312692308
"9","Quad",433,0.325635103926097,2.1175519630485,1.35199801141581,2,1.4826,-1.29586278900897,1.3175084294568,-1.12,1.27731692307692
"10","URM",1030,0.23495145631068,2.41456310679612,1.33041776226701,2.66,0.993342,-0.899702955376563,1.27185885751582,-0.64,1.10300145
"11","URM&FEM",811,0.170160295930949,2.7091738594328,1.23939269600912,3,1.4826,-0.825083959104192,1.15611239225786,-0.619285714285714,1.04024947058823
"12","URM&FG",200,0.255,2.3404,1.34892096836489,2.33,1.971858,-0.930488478122409,1.26614500777344,-0.776829545454546,1.22471702255245
"13","URM&FG&FEM",154,0.266233766233766,2.19558441558442,1.30922967273305,2.33,0.993342,-1.20532219449966,1.2661921985254,-0.934884615384615,1.07779317692308
"14","URM&FG&LI",393,0.244274809160305,2.24900763358779,1.28225617582907,2.33,0.993342,-1.05848953058557,1.19760111272966,-0.967272727272727,1.16036777622378
"15","URM&LI",334,0.233532934131737,2.27125748502994,1.28357804131927,2.33,0.993342,-1.03943324773427,1.24411645157584,-0.842911764705882,1.04608868158371
"16","URM&LI&FEM",347,0.244956772334294,2.35221902017291,1.32150180742821,2.33,1.4826,-1.07493871690466,1.24829455086352,-0.947692307692308,1.12224525734266
"17","0",433,0.325635103926097,2.1175519630485,1.35199801141581,2,1.4826,-1.29586278900897,1.3175084294568,-1.12,1.27731692307692
"18","1",1112,0.252697841726619,2.2769154676259,1.31101520362465,2.33,1.4826,-1.11922794237378,1.25354547213851,-0.959615384615385,1.14149832167832
"19","2",2156,0.211038961038961,2.48598330241187,1.28243051858098,2.66,0.993342,-0.966132048925311,1.205073479127,-0.761663636363636,1.09274773804196
"20","3",3600,0.191944444444444,2.55843333333333,1.26093355158231,3,1.4826,-0.916728429390368,1.20317809039148,-0.706948412698413,1.04812171666667
"21","4",2789,0.196486195769093,2.45641089996414,1.23789985252199,2.66,0.978516,-0.933041648179347,1.18070983106473,-0.75625,1.04925312692308

____________________________

Regression, grade penalty ~ sai
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.15520546964667,0.0317609318784164,-36.3719009904651,2.72833252734831e-272
"sai",0.0681109177908704,0.0108312616645063,6.28836417220607,3.34117524792539e-10

____________________________

